,City,Lat,Lng,Max Temp,Humidity,Cloudiness,WindSpeed,Country,Date
303,Chimbote,-9.0853,-78.5783,65.46,91,22,8.23,PE,1619490138
304,Vaitape,-16.5167,-151.75,81.21,68,65,4.92,PF,1619490138
305,New Norfolk,-42.7826,147.0587,64.99,72,19,1.99,AU,1619489943
306,Sri Aman,1.2376,111.4621,78.8,94,40,5.75,MY,1619490139
307,Kumul,42.8,93.45,54.25,12,74,6.4,CN,1619490139
308,Ivanava,52.1451,25.5365,27.97,91,12,6.06,BY,1619490140
309,Santa Marta,11.2408,-74.199,84.2,65,75,17.27,CO,1619490140
310,Slave Lake,55.2834,-114.769,35.6,69,75,6.91,CA,1619490141
311,Ketchikan,55.3422,-131.6461,55.4,47,1,14.97,US,1619489950
312,Acaraú,-2.8856,-40.12,78.04,83,93,8.46,BR,1619490141
313,Piripiri,-4.2733,-41.7769,73.49,90,100,3.06,BR,1619490141
314,Marsá Maţrūḩ,31.3525,27.2453,55.4,82,0,6.91,EG,1619489977
315,Mount Isa,-20.7333,139.5,89.6,31,24,13.8,AU,1619490142
316,Lolodorf,3.2333,10.7333,71.51,99,100,1.03,CM,1619490143
317,Sola,-13.8833,167.55,81.34,75,89,10.02,VU,1619490143
318,Valday,57.9747,33.2525,32.97,97,100,5.41,RU,1619490143
319,Rawson,-43.3002,-65.1023,63.09,43,48,6.06,AR,1619489933
320,Lompoc,34.6391,-120.4579,53.6,71,0,14.97,US,1619490144
321,Vostok,46.4856,135.8833,58.23,26,100,4.94,RU,1619490144
322,Kadoma,34.7333,135.5833,66.2,45,75,2.3,JP,1619489996
323,Broome,42.2506,-75.833,37.4,35,1,4.61,US,1619490145
324,Marzuq,14.4,46.4667,71.13,60,97,1.5,YE,1619489942
325,Dauriya,49.9333,116.8667,37.47,53,93,24.25,RU,1619490145
326,Waddān,29.1614,16.139,68.41,31,4,9.57,LY,1619490146
327,Tahe,52.3333,124.7333,59.61,23,2,13.71,CN,1619490147
328,Fairbanks,64.8378,-147.7164,53.01,32,1,17.27,US,1619489876
329,Port Macquarie,-31.4333,152.9167,73.99,60,1,3.0,AU,1619490147
330,Birnin Kebbi,12.4539,4.1975,85.75,34,25,4.38,NG,1619490147
331,Ternate,0.8,127.4,85.41,65,32,2.17,ID,1619490056
332,Klyuchi,52.2667,79.1667,53.58,71,100,8.99,RU,1619490148
333,Madīnat Sittah Uktūbar,29.8167,31.05,60.8,72,40,8.05,EG,1619490148
334,Savannah Bight,16.45,-85.85,80.01,85,5,23.58,HN,1619490149
335,Bafoulabé,13.8065,-10.8321,93.76,30,75,5.32,ML,1619490149
336,Tumpat,6.1978,102.171,82.4,89,20,3.44,MY,1619490150
337,Miandrivazo,-19.5167,45.4667,73.87,83,97,3.98,MG,1619490150
338,San Vicente,-26.6167,-54.1333,49.33,78,0,3.02,AR,1619490150
339,Porirua,-41.1333,174.85,55.0,70,72,8.99,NZ,1619490151
340,Broken Hill,-31.95,141.4333,66.2,37,4,8.05,AU,1619490151
341,São João da Barra,-21.6403,-41.0511,72.99,93,16,9.78,BR,1619490151
342,Sørland,67.667,12.6934,36.99,56,37,16.84,NO,1619490152
343,Shreveport,32.5251,-93.7502,73.99,64,1,8.05,US,1619490152
344,Chākuliā,22.4833,86.7167,84.2,30,40,3.44,IN,1619490153
345,Pahrump,36.2083,-115.9839,64.0,26,52,5.01,US,1619490153
346,Bambanglipuro,-7.95,110.2833,83.35,70,90,8.21,ID,1619490153
347,Faanui,-16.4833,-151.75,81.25,68,69,4.88,PF,1619490154
348,Arawa,-6.2132,155.5367,86.83,69,88,2.17,PG,1619490154
349,Lamin,13.3522,-16.4339,68.0,88,0,5.75,GM,1619490154
350,Capitão Poço,-1.7464,-47.0594,72.72,97,35,3.71,BR,1619490155
351,Kargasok,59.0556,80.8572,41.22,79,1,9.53,RU,1619490155
352,Srednekolymsk,67.45,153.6833,28.36,77,67,5.57,RU,1619490156
353,Nuuk,64.1835,-51.7216,33.8,100,90,8.05,GL,1619490156
